Sr. No.,Insurer Name,Product Name,Eligibility Criteria,,,,,,,,,Plan Options,,,,,,Riders,,,,,
,,,Minimum Entry Age,Maximum Entry Age,Annual,Half Yearly,Quaterly,Single,Policy Term,Minimum Sum Assured,Maximum Sum Assured,Level Cover,Increasing cover,Life cover (Lumpsum+Income),Return of premium,Joint Life,TULIP,Accidental Death Benefit,Accelerated Disability Rider,Critical Illness Rider,Hospi Cash Rider,Waiver of Premium in case of Critical Illness,Terminal Illness
1,LIC of India,Digi-Term (Plan 876),18,45,Yes,Yes,No,Yes,15 to 40 years,5000000,50000000,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
,LIC of India,Bima Kavach,18,65,Yes,Yes,No,Yes,10 to 82 years,20000000,No Limit,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No
,LIC of India,New Jeevan Amar,18,65,Yes,Yes,No,Yes,10 to 40 years,2500000,No Limit,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No
,LIC of India,Yuva Credit Life,18,45,Yes,Yes,No,Yes,5 to 30 years,5000000,50000000,No,No,No,No,No,No,No,No,No,No,No,No
,LIC of India,Saral Jeevan Bima,18,65,Yes,Yes,Monthly (ECS/NACH),Yes,5 to 40 years,500000,2500000,Yes,No,No,No,No,No,No,No,No,No,No,No
,LIC of India,New Tech-Term,18,65,Yes,Yes,No,Yes,10 to 40 years,5000000,No Limit,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No
,LIC of India,Digi Credit Life,18,45,Yes,Yes,No,Yes,5 to 30 years,5000000,50000000,No,No,No,No,No,No,No,No,No,No,No,No
,LIC of India,Yuva Term,18,45,Yes,Yes,No,Yes,15 to 40 years,5000000,50000000,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
,LIC of India,Jeevan Kiran,18,65,Yes,Yes,No,Yes,10 to 40 years,1500000,No Limit,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No
2,Axis Max Life Insurance,Smart Secure Plus Plan,18,65,Yes,Yes,Yes,Yes,10 to 67 years,2000000,No Limit,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes
,Axis Max Life Insurance,Smart Term Plan Plus,18,65,Yes,Yes,Yes,Yes,10 to 82 years,500000,No Limit,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes
,Axis Max Life Insurance,Saral Jeevan Bima,18,65,Yes,Yes,No,No,5 to 40 years,500000,2500000,Yes,No,No,No,No,No,No,No,No,No,No,No
3,HDFC Life Insurance,Click 2 Protect Supreme Plus,18,84,Yes,Yes,Yes,Yes,Whole Life (up to 85 years),10000,No Limit,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes
,HDFC Life Insurance,Click 2 Protect Elite Plus,18,45,Yes,Yes,Yes,Yes,10 to 40 years,5000000,No Limit (BAUP),Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes
,HDFC Life Insurance,Click 2 Protect Ultimate,18,50,Yes,Yes,Yes,Yes,2 to 40 years,100000000,300000000,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes
,HDFC Life Insurance,Sanchay Legacy,40,65,Yes,Yes,Yes,Yes,Whole Life,100000,No Limit,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes
4,ICICI Prudential Life Insurance,iProtect Super,18,55,Yes,Yes,Yes,No,5 to 40 years,5000000,20000000,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes
,ICICI Prudential Life Insurance,iProtect Return of Premium,18,65,Yes,Yes,Yes,Yes,10 to 40 years,100000,No Limit (BAUP),"Yes (Level, Life-stage)",Yes,Yes,Yes,No,No,"Yes (ADB, CI)",Yes,Yes,No,No,Yes
,ICICI Prudential Life Insurance,iProtect Smart Return of Premium,18,55,Yes,Yes,Yes,No,5 to 40 years,1000000,No Limit (BAUP),Yes,No,Yes (Death as Income),Yes (100% premiums),No,No,No,No,No,No,No,No
,ICICI Prudential Life Insurance,iProtect Smart Plus,18,65,Yes,Yes,Yes,Yes,5 to Whole Life (99-age),100000,No Limit (BAUP),"Yes (Life, Life Plus, Life Rebalancing)",Yes (Rebalancing),Yes (Lump sum or Income),No,No,No,Yes (ADB),Yes,No,No,No,Yes
5,Kotak Mahindra Life Insurance,Signature Term Plan,18,65,Yes,Yes,Yes,Yes,5 to 85 age,20000000,No Limit (BAUP),Yes,No,No,No,No,No,"Yes (ADB, PDB, CI)",Yes,Yes,No,Yes,No
